epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.004,2.32357,3.85653,1.64375,0.06276,0.50757,0.06943,0.03555,1.59087,3.57056,1.16861,0.000463056,0.000463056,0.000463056
2,43.908,1.66836,3.52047,1.29832,0.11016,0.61476,0.07964,0.03743,1.47619,3.4661,1.09163,0.00100864,0.00100864,0.00100864
3,61.8444,1.55213,2.95919,1.15255,0.11016,0.61476,0.07964,0.03743,1.47619,3.4661,1.09163,0.00154322,0.00154322,0.00154322
4,80.2454,1.67031,2.7076,1.24661,0.20902,0.94758,0.24463,0.10703,1.51274,3.34227,1.22545,0.00161749,0.00161749,0.00161749
5,100.577,1.68069,2.47436,1.20263,0.17336,0.79668,0.32716,0.17853,1.44851,3.17958,1.15769,0.00160099,0.00160099,0.00160099
6,119.202,1.58319,2.21394,1.07868,0.17534,0.80901,0.43032,0.24025,1.6777,3.05124,1.24943,0.00158448,0.00158448,0.00158448
7,138.05,1.68664,1.97627,1.12467,0.17534,0.80901,0.43032,0.24025,1.6777,3.05124,1.24943,0.00156798,0.00156798,0.00156798
8,156.594,1.62356,1.71585,1.10765,0.58666,0.46381,0.56564,0.31478,1.55467,2.70629,1.144,0.00155148,0.00155148,0.00155148
9,176.396,1.57091,1.67246,1.06941,0.53947,0.64986,0.6738,0.37395,1.49826,2.38646,1.10351,0.00153497,0.00153497,0.00153497
10,194.931,1.57091,1.47361,1.08043,0.53838,0.82967,0.74402,0.43298,1.43958,1.84452,1.07352,0.00151847,0.00151847,0.00151847
11,213.674,1.4876,1.48752,1.01561,0.53838,0.82967,0.74402,0.43298,1.43958,1.84452,1.07352,0.00150197,0.00150197,0.00150197
12,232.251,1.48885,1.32299,1.03664,0.70832,0.79703,0.88,0.48179,1.51088,1.44707,1.12526,0.00148546,0.00148546,0.00148546
13,250.75,1.4585,1.20734,1.03526,0.73543,0.8502,0.92751,0.53655,1.43308,1.27148,1.10421,0.00146896,0.00146896,0.00146896
14,269.159,1.46709,1.18498,1.03088,0.88183,0.86056,0.95447,0.55359,1.39854,1.07945,1.09359,0.00145246,0.00145246,0.00145246
15,288.493,1.36911,1.13939,1.0116,0.88183,0.86056,0.95447,0.55359,1.39854,1.07945,1.09359,0.00143595,0.00143595,0.00143595
16,307.177,1.39099,1.04216,0.9982,0.92851,0.92053,0.96702,0.60833,1.31638,0.95576,1.06352,0.00141945,0.00141945,0.00141945
17,326.066,1.36713,1.04994,0.97789,0.92661,0.92491,0.96756,0.59579,1.33391,0.94596,1.09373,0.00140295,0.00140295,0.00140295
18,344.855,1.38086,0.98875,1.00362,0.91502,0.93614,0.96506,0.58977,1.33115,0.91876,1.10776,0.00138644,0.00138644,0.00138644
19,364.479,1.31791,0.94627,0.99192,0.91502,0.93614,0.96506,0.58977,1.33115,0.91876,1.10776,0.00136994,0.00136994,0.00136994
20,384.072,1.32237,0.91206,0.97993,0.93444,0.94554,0.97296,0.6135,1.29472,0.86721,1.07985,0.00135344,0.00135344,0.00135344
21,402.791,1.30078,0.87849,0.99427,0.96024,0.94314,0.97843,0.62595,1.27879,0.82377,1.06623,0.00133693,0.00133693,0.00133693
22,424.591,1.31171,0.83162,0.99123,0.96504,0.94859,0.98129,0.61543,1.28175,0.91324,1.07788,0.00132043,0.00132043,0.00132043
23,444.841,1.26857,0.85867,0.98401,0.96504,0.94859,0.98129,0.61543,1.28175,0.91324,1.07788,0.00130393,0.00130393,0.00130393
24,466.936,1.2364,0.81007,0.96262,0.97233,0.96131,0.98499,0.61456,1.2608,0.8762,1.07665,0.00128742,0.00128742,0.00128742
25,488.268,1.26405,0.83561,0.9768,0.97667,0.9758,0.98959,0.62989,1.24277,0.79384,1.05294,0.00127092,0.00127092,0.00127092
26,508.95,1.25713,0.81704,0.97064,0.97995,0.98565,0.99297,0.64723,1.22652,0.72209,1.02365,0.00125442,0.00125442,0.00125442
27,527.424,1.25325,0.78994,0.97427,0.97995,0.98565,0.99297,0.64723,1.22652,0.72209,1.02365,0.00123791,0.00123791,0.00123791
28,551.342,1.24326,0.78975,0.95649,0.9763,0.97643,0.99239,0.62657,1.27396,0.75294,1.03461,0.00122141,0.00122141,0.00122141
29,573.62,1.22301,0.78216,0.96303,0.97832,0.97423,0.99029,0.64152,1.22142,0.75246,1.03366,0.00120491,0.00120491,0.00120491
30,598.41,1.18832,0.74958,0.95319,0.97579,0.98646,0.99292,0.64243,1.23503,0.75655,1.05,0.0011884,0.0011884,0.0011884
31,621.98,1.178,0.74843,0.98664,0.97579,0.98646,0.99292,0.64243,1.23503,0.75655,1.05,0.0011719,0.0011719,0.0011719
32,647.183,1.23096,0.76239,0.96648,0.98304,0.98065,0.99251,0.65485,1.18409,0.72412,1.02239,0.0011554,0.0011554,0.0011554
33,671.972,1.16993,0.76097,0.98011,0.9847,0.98576,0.99085,0.67425,1.14582,0.71248,1.00543,0.00113889,0.00113889,0.00113889
34,699.754,1.17061,0.72908,0.96093,0.97962,0.98338,0.99065,0.64168,1.26201,0.74573,1.02589,0.00112239,0.00112239,0.00112239
35,726.153,1.19717,0.72102,0.94971,0.97962,0.98338,0.99065,0.64168,1.26201,0.74573,1.02589,0.00110589,0.00110589,0.00110589
36,749.187,1.15497,0.71319,0.94153,0.97783,0.9923,0.99024,0.65883,1.19752,0.71301,0.99541,0.00108938,0.00108938,0.00108938
37,773.511,1.17528,0.72675,0.94278,0.98781,0.98977,0.98986,0.67338,1.13935,0.6552,0.96962,0.00107288,0.00107288,0.00107288
38,795.921,1.16273,0.71974,0.95584,0.98787,0.98797,0.99209,0.67088,1.13874,0.61593,0.97052,0.00105638,0.00105638,0.00105638
39,816.315,1.16703,0.69372,0.94581,0.98787,0.98797,0.99209,0.67088,1.13874,0.61593,0.97052,0.00103987,0.00103987,0.00103987
40,837.762,1.13151,0.67971,0.95268,0.99184,0.98772,0.99305,0.67722,1.12406,0.61779,0.97086,0.00102337,0.00102337,0.00102337
41,857.375,1.17315,0.69916,0.94791,0.98937,0.98681,0.99381,0.69117,1.10276,0.62634,0.96419,0.00100687,0.00100687,0.00100687
42,877.475,1.16832,0.70106,0.95623,0.98578,0.98933,0.9945,0.65847,1.21296,0.65516,0.98732,0.000990365,0.000990365,0.000990365
43,896.455,1.15188,0.69963,0.94166,0.98578,0.98933,0.9945,0.65847,1.21296,0.65516,0.98732,0.000973861,0.000973861,0.000973861
44,919.838,1.12105,0.67326,0.95451,0.98803,0.99032,0.99469,0.66073,1.22481,0.62899,0.98785,0.000957358,0.000957358,0.000957358
45,945.766,1.10204,0.65779,0.93407,0.99516,0.98875,0.99396,0.68456,1.11966,0.61092,0.95933,0.000940855,0.000940855,0.000940855
46,969.569,1.10829,0.65903,0.94414,0.99462,0.98987,0.99291,0.67836,1.10322,0.61374,0.95542,0.000924352,0.000924352,0.000924352
47,989.994,1.10616,0.655,0.93196,0.99462,0.98987,0.99291,0.67836,1.10322,0.61374,0.95542,0.000907848,0.000907848,0.000907848
48,1009.42,1.11502,0.65217,0.93791,0.99209,0.99059,0.99237,0.68139,1.09624,0.59973,0.96097,0.000891345,0.000891345,0.000891345
49,1030.6,1.09841,0.65245,0.94172,0.98824,0.99327,0.99239,0.69188,1.0733,0.59169,0.95705,0.000874842,0.000874842,0.000874842
50,1050.87,1.09716,0.64965,0.94236,0.99212,0.98891,0.99219,0.69579,1.07295,0.58599,0.95415,0.000858338,0.000858338,0.000858338
51,1072.15,1.09207,0.66456,0.96358,0.99212,0.98891,0.99219,0.69579,1.07295,0.58599,0.95415,0.000841835,0.000841835,0.000841835
52,1096.1,1.11048,0.67471,0.94444,0.99013,0.99389,0.99293,0.69693,1.06536,0.58108,0.95053,0.000825332,0.000825332,0.000825332
53,1117.82,1.0782,0.63797,0.93984,0.99367,0.98983,0.99403,0.70239,1.0526,0.57741,0.94528,0.000808828,0.000808828,0.000808828
54,1139.7,1.05572,0.63338,0.93803,0.99277,0.99114,0.99459,0.70413,1.06185,0.56941,0.95137,0.000792325,0.000792325,0.000792325
55,1159.45,1.10407,0.64532,0.92711,0.99277,0.99114,0.99459,0.70413,1.06185,0.56941,0.95137,0.000775822,0.000775822,0.000775822
56,1179.96,1.0788,0.61901,0.94368,0.99196,0.99205,0.99448,0.69773,1.06379,0.56891,0.95244,0.000759318,0.000759318,0.000759318
57,1199.15,1.06395,0.62428,0.93272,0.9919,0.99335,0.99431,0.70197,1.03985,0.5708,0.94572,0.000742815,0.000742815,0.000742815
58,1219.25,1.07363,0.6169,0.93968,0.99285,0.99253,0.99429,0.69665,1.06177,0.5757,0.94982,0.000726312,0.000726312,0.000726312
59,1238.6,1.05722,0.61435,0.93564,0.99285,0.99253,0.99429,0.69665,1.06177,0.5757,0.94982,0.000709809,0.000709809,0.000709809
60,1259.13,1.09392,0.62963,0.932,0.993,0.99218,0.99329,0.69297,1.05441,0.57538,0.94637,0.000693305,0.000693305,0.000693305
61,1280.06,1.08424,0.63944,0.92979,0.99298,0.99217,0.99299,0.69173,1.05241,0.57478,0.93927,0.000676802,0.000676802,0.000676802
62,1301.97,1.06931,0.626,0.9129,0.99321,0.99213,0.993,0.68792,1.07327,0.58508,0.93879,0.000660299,0.000660299,0.000660299
63,1321.72,1.07748,0.59658,0.92207,0.99321,0.99213,0.993,0.68792,1.07327,0.58508,0.93879,0.000643795,0.000643795,0.000643795
64,1340.52,1.06992,0.6043,0.93483,0.99077,0.99605,0.99297,0.67928,1.10031,0.58029,0.94552,0.000627292,0.000627292,0.000627292
65,1359.69,1.0613,0.60918,0.90934,0.98994,0.99605,0.99294,0.68485,1.08751,0.57349,0.94422,0.000610789,0.000610789,0.000610789
66,1381.15,1.05052,0.59391,0.90931,0.99042,0.99449,0.99307,0.70059,1.0382,0.56116,0.93714,0.000594286,0.000594286,0.000594286
67,1401.36,1.04479,0.60815,0.92441,0.99042,0.99449,0.99307,0.70059,1.0382,0.56116,0.93714,0.000577782,0.000577782,0.000577782
68,1422.57,1.03349,0.59211,0.91862,0.9899,0.99605,0.99313,0.69608,1.04468,0.55764,0.94395,0.000561279,0.000561279,0.000561279
69,1442.94,1.05121,0.64519,0.94518,0.99013,0.99605,0.99298,0.69442,1.05164,0.55502,0.94951,0.000544776,0.000544776,0.000544776
70,1465.2,1.06439,0.59125,0.92621,0.99146,0.99431,0.99296,0.70215,1.03451,0.55252,0.94493,0.000528272,0.000528272,0.000528272
71,1486.1,1.05943,0.5876,0.92973,0.99146,0.99431,0.99296,0.70215,1.03451,0.55252,0.94493,0.000511769,0.000511769,0.000511769
72,1506.41,1.04059,0.62014,0.9383,0.99127,0.99585,0.9932,0.70893,1.03264,0.55015,0.9394,0.000495266,0.000495266,0.000495266
73,1527,1.07174,0.63492,0.90896,0.99134,0.996,0.99384,0.70979,1.0306,0.54954,0.93749,0.000478762,0.000478762,0.000478762
74,1547.49,1.06282,0.58691,0.91331,0.9911,0.99605,0.994,0.70965,1.02124,0.54386,0.93532,0.000462259,0.000462259,0.000462259
75,1568.17,1.06505,0.5893,0.9167,0.9911,0.99605,0.994,0.70965,1.02124,0.54386,0.93532,0.000445756,0.000445756,0.000445756
76,1588.59,1.05262,0.60082,0.92489,0.99278,0.99605,0.99383,0.70858,1.02145,0.54038,0.93426,0.000429253,0.000429253,0.000429253
77,1610.26,1.03722,0.57913,0.92131,0.99315,0.99548,0.99352,0.71088,1.01936,0.5374,0.93462,0.000412749,0.000412749,0.000412749
78,1629.63,1.04666,0.58246,0.91485,0.9917,0.99605,0.99325,0.71129,1.01251,0.53479,0.93518,0.000396246,0.000396246,0.000396246
79,1649.45,1.01775,0.5813,0.90568,0.9917,0.99605,0.99325,0.71129,1.01251,0.53479,0.93518,0.000379743,0.000379743,0.000379743
80,1670.32,1.0573,0.58047,0.91514,0.99379,0.99403,0.99303,0.71248,1.00634,0.53363,0.93328,0.000363239,0.000363239,0.000363239
81,1690.23,1.006,0.57316,0.93073,0.99336,0.99605,0.99306,0.71272,1.00984,0.53648,0.93432,0.000346736,0.000346736,0.000346736
82,1710.65,1.03474,0.58344,0.91868,0.99288,0.99605,0.99309,0.71294,1.00774,0.53837,0.93411,0.000330233,0.000330233,0.000330233
83,1730.8,1.0059,0.58929,0.91336,0.99288,0.99605,0.99309,0.71294,1.00774,0.53837,0.93411,0.000313729,0.000313729,0.000313729
