epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7536,2.44882,3.87981,1.76116,0.03653,0.30308,0.02118,0.00829,1.85739,3.7482,1.45595,0.000370444,0.000370444,0.000370444
2,35.1626,1.75886,3.47778,1.31457,0.05693,0.49548,0.0645,0.02975,1.63088,3.53102,1.12068,0.000834426,0.000834426,0.000834426
3,52.5243,1.51682,2.98655,1.19402,0.09798,0.43181,0.06158,0.01247,1.78141,3.46988,1.18881,0.00118839,0.00118839,0.00118839
4,69.1785,1.62853,2.60773,1.13464,0.06916,0.32272,0.03778,0.00606,1.28989,3.27278,1.0612,0.0011719,0.0011719,0.0011719
5,85.6879,1.55848,2.32083,1.17281,0.18662,0.8561,0.3976,0.18851,1.35384,3.00227,1.117,0.00100687,0.00100687,0.00100687
6,102.062,1.34787,2.01648,1.08571,0.18662,0.8561,0.3976,0.18851,1.35384,3.00227,1.117,0.000841835,0.000841835,0.000841835
7,118.815,1.32412,1.81223,1.04763,0.21404,0.96292,0.49216,0.27316,1.27827,2.73345,1.062,0.000676802,0.000676802,0.000676802
8,135.329,1.32502,1.70856,1.04565,0.21914,0.99134,0.55229,0.31633,1.30292,2.6,1.06701,0.000511769,0.000511769,0.000511769
9,151.927,1.32519,1.55035,1.01015,0.21941,0.99628,0.60782,0.3596,1.2807,2.54386,1.03602,0.000346736,0.000346736,0.000346736
10,168.423,1.31401,1.44752,1.01833,0.21941,0.99628,0.60782,0.3596,1.2807,2.54386,1.03602,0.000181703,0.000181703,0.000181703
